"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"119","Particles",0.0003343,0.909,0.023,3973,1421,21.105,0.019,1.202,0.832,0.974
"120","Particles",0.0001752,0.836,0.019,3419,2652,125.538,0.012,1.673,0.598,0.96
"121","Particles",0.0003883,0.776,0.03,2891,2241,21.14,0.018,1.754,0.57,0.963
"122","Particles",0.0004098,0.91,0.024,2863,1688,161.847,0.022,1.073,0.932,0.975
"123","Particles",4.584e-05,0.919,0.008,4674,2662,54.162,0.007,1.072,0.933,0.945
"124","Particles",0.001,0.872,0.052,3198,2003,52.052,0.037,1.424,0.702,0.985
"125","Fragments",0.0002766,0.448,0.026,2801,2112,67.891,0.015,1.747,0.572,0.872
"126","Particles",0.0001072,0.906,0.013,2688,2203,57.653,0.011,1.233,0.811,0.955
"127","Particles",0.000528,0.85,0.03,2665,1812,162.688,0.022,1.338,0.747,0.972
"128","Particles",0.001,0.768,0.044,3121,1334,37.747,0.032,1.397,0.716,0.973
"129","Fibers",0.0005697,0.107,0.042,2941,1481,98.13,0.03,1.565,0.639,0.626
"25","Fibers",0.0004975,0.11,0.052,2998,1511,130.285,0.02,3.23,0.31,0.676
"32","Fragments",1.547e-06,0.448,0.003,3076,1615,164.055,0.001,2.943,0.34,0.579
"41","Particles",8.438e-07,1,0.002,2947,1484,45,0.001,1.809,0.553,0.8
"51","Particles",1.125e-06,0.785,0.002,2952,1481,116.565,0.001,1.218,0.821,0.762
"61","Particles",3.375e-06,0.702,0.003,2934,1489,54.462,0.002,1.489,0.672,0.8
"71","Particles",7.312e-06,0.724,0.004,2913,1510,59.036,0.003,1.809,0.553,0.794
"8","Particles",1.828e-06,1,0.002,2951,1512,126.87,0.002,1.093,0.915,0.897
"9","Particles",5.625e-07,0.857,0.001,2918,1543,108.435,0.00075,1.468,0.681,0.8
"10","Particles",6.75e-06,0.719,0.004,3044,1543,150.945,0.003,1.099,0.91,0.835
"1110","Particles",3.516e-06,0.821,0.003,3018,1552,50.194,0.002,1.199,0.834,0.847
"1210","Particles",9.844e-07,1,0.002,3025,1551,26.565,0.00075,1.936,0.517,0.933
"131","Particles",4.219e-07,1,0.001,2925,1558,135,0.00075,1.464,0.683,0.857
"141","Particles",4.219e-07,0.967,0.001,2957,1560,161.565,0.000375,3,0.333,1
"151","Particles",3.375e-06,0.686,0.003,2939,1576,23.199,0.002,1.073,0.932,0.774
"161","Particles",6.188e-06,0.847,0.004,3030,1575,150.945,0.003,1.547,0.646,0.854
"171","Particles",4.781e-06,0.754,0.004,3086,1616,71.565,0.002,1.596,0.626,0.756
"181","Particles",1.828e-06,0.697,0.003,3072,1608,123.69,0.001,2.44,0.41,0.788
"191","Particles",0.0008311,0.904,0.035,1847,2967,109.612,0.031,1.081,0.925,0.981
"130","Particles",0.0001652,0.832,0.019,3916,2262,55.376,0.011,1.732,0.577,0.963
"132","Particles",2.911e-05,0.824,0.007,2287,1929,40.601,0.006,1.117,0.895,0.89
"133","Particles",0.001,0.686,0.055,2816,1848,168.921,0.032,1.789,0.559,0.959
"134","Particles",0.002,0.833,0.067,2600,1990,10.62,0.048,1.384,0.723,0.983
"135","Particles",0.0002609,0.921,0.019,1961,1938,66.949,0.018,1.062,0.941,0.972
